monster,golden_largest_min,golden_largest_max,silver_min,silver_max,golden_smallest_min,golden_smallest_max,default
Akantor,,,,,,,3049
Basarios,1754.6,,,,,1154.9,
Ruby Basarios,1783.13,,,,,1269.59,
Brachydios,1932.69,,,,,1339.18,
Cephadrome,2097.0,,,,,889.13,
Congalala,1670.76,,,,,491.4,
Emerald Congalala,1670.76,,,,,491.4,
Daimyo Hermitaur,1451.2,,,,,450.45,
Plum Daimyo Hermitaur,1346.8,,,,,247.5,
Deviljho,4097.8,,,,,1803.0,
Savage Deviljho,4097.8,,,,,1803.0,
Diablos,3030.0,,,,,1796.26,
Black Diablos,2930.3,,,,,1865.66,
Gendrome,1037.4,,,,,615,
Gore Magala,2201.12,,,,,1549.59,
Chaotic Gore Magala,2201.12,,,,,1549.59,
Gravios,3065.9,,,,,1049.35,
Black Gravios,3065.9,,,,,1946.3,
Great Jaggi,1261.31,,,,,822.27,
Gypceros,1348.2,,,,,811.0,
Iodrome,1641.06,,,,,619.7,
Kecha Wacha,1019.01,,,,,779.77,
Ash Kecha Wacha,1329.15,,,,,779.77,
Khezu,1225.5,,,,,436.6,
Red Khezu,1205.0,,,,,436.6,
Lagombi,,1581.9,,,214.16,,
Monoblos,2918.8,,,,,1683.5,
White Monoblos,2810.7,,,,,1849.2,
Najarala,5068.75,,,,,3568.4,
Tidal Najarala,5271.5,,,,,,
Nerscylla,1126.57,,,,,651.63,
Shrouded Nerscylla,1188.69,,,,,389.57,
Rajang,1631.2,,,,,729.62,
Furious Rajang,1631.2,,,,,729.62,
Rathalos,2248.6,,,,,1140.6,
Azure Rathalos,2248.6,,,,,1140.6,
Silver Rathalos,2248.6,,,,,1140.6,
Rathian,2303.8,,,,,1151.9,
Pink Rathian,2303.8,,,,,1151.9,
Gold Rathian,2303.8,,,,,1151.9,
Seltas,769.88,,,,,541.99,
Desert Seltas,766.63,,,,,541.99,
Seltas Queen,1791.55,,,,,1271.42,
Desert Seltas Queen,2291.87,,,,,1760.16,
Seregios,2246.53,,,,,1520.73,
Tetsucabra,1582.25,,,,,632.9,
Berserk Tetsucabra,1582.25,,,,,632.9,
Tigrex,2914.8,,,,,1388.2,
Brute Tigrex,2169.38,,,,,1579.21,
Molten Tigrex,,,,,,,2313.9
Ukanlos,,,,,,,3188
Velocidrome,1736.4,,,,,590.7,
Yian Garuga,1744.5,,,,,887.3,
Yian Kut-Ku,1233.23,,,,,449.3,
Blue Yian Kut-Ku,1195.7,,,,,449.3,
Zamtrios,3039.2,,,,,1367.64,
Tigerstripe Zamtrios,1899.5,,,,,1458.82,
Zinogre,2144.49,,,,,1217.4,
Stygian Zinogre,1887.0,,,,,1397.18,
Chameleos,2811.32,,,,,1395.2,
Dah'ren Mohran,,,,,,,11446.5
Dalamadur,,,,,,,44039.7
Shah Dalamadur,,,,,,,44039.7
Fatalis,,,,,,,4110.6
Crimson Fatalis,,,,,,,4110.6
White Fatalis,,,,,,,4110.6
Gogmazios,,,,,,,4920.5
Kirin,989.64,,,,,371.4,
Oroshi Kirin,989.64,,,,,483.82,
Kushala Daora,2391.41,,,,,1261.6,
Rusted Kushala Daora,2391.41,,,,,1261.6,
Shagaru Magala,2187.06,,,,,1564.73,
Teostra,2610.0,,,,,1479.0,
