monster,fire_weak,water_weak,thunder_weak,ice_weak,dragon_weak
Akantor,0.0,0.14,0.71,0.03,0.53
Apex Deviljho,0.16,0.15,0.61,0.11,0.37
Apex Diablos,0.01,0.16,0.2,0.44,0.1
Apex Gravios,0.0,0.86,0.03,0.09,0.28
Apex Rajang,0.0,0.03,0.0,0.46,0.0
Apex Seregios,0.0,0.08,0.38,0.16,0.02
Apex Tidal Najarala,0.48,0.01,0.26,0.0,0.01
Apex Tigrex,0.01,0.21,0.65,0.09,0.15
Apex Zinogre,0.19,0.31,0.0,0.75,0.05
Ash Kecha Wacha,0.0,0.26,0.07,0.08,0.0
Azure Rathalos,0.0,0.16,0.33,0.29,0.5
Basarios,0.19,0.38,0.14,0.16,0.29
Berserk Tetsucabra,0.0,0.06,0.35,0.56,0.0
Black Diablos,0.01,0.16,0.2,0.44,0.1
Black Gravios,0.0,0.73,0.03,0.0,0.02
Blue Yian Kut-Ku,0.04,0.38,0.3,0.18,0.0
Brachydios,0.0,0.54,0.08,0.8,0.02
Brute Tigrex,0.0,0.48,0.32,0.18,0.13
Cephadrome,0.0,0.0,0.28,0.0,0.0
Chameleos,0.97,0.0,0.34,0.0,0.36
Chaotic Gore Magala,0.0,0.0,0.0,0.0,0.0
Congalala,0.44,0.11,0.12,0.19,0.0
Crimson Fatalis,0.03,0.12,0.03,0.34,0.24
Dah'ren Mohran,0.0,0.03,0.4,0.0,0.2
Daimyo Hermitaur,0.83,0.05,0.72,0.25,0.0
Dalamadur,0.06,0.11,0.43,0.5,0.59
Desert Seltas,0.06,0.05,0.11,0.26,0.0
Desert Seltas Queen,0.0,0.02,0.02,0.34,0.0
Deviljho,0.16,0.15,0.61,0.11,0.37
Diablos,0.01,0.16,0.2,0.44,0.1
Emerald Congalala,0.04,0.21,0.14,0.54,0.0
Fatalis,0.15,0.02,0.02,0.08,0.36
Furious Rajang,0.0,0.03,0.0,0.46,0.0
Gendrome,0.05,0.05,0.12,0.23,0.01
Gogmazios,0.59,0.0,0.07,0.01,1.0
Gold Rathian,0.0,0.21,0.46,0.08,0.0
Gore Magala,1.0,0.0,0.37,0.07,0.3
Gravios,0.0,0.86,0.03,0.09,0.28
Great Jaggi,0.17,0.07,0.08,0.09,0.0
Gypceros,0.37,0.04,0.0,0.2,0.06
Iodrome,0.06,0.14,0.15,0.02,0.01
Kecha Wacha,0.32,0.0,0.1,0.06,0.0
Khezu,0.38,0.02,0.0,0.02,0.01
Kirin,0.2,0.18,0.0,0.17,0.04
Kushala Daora,0.14,0.02,1.0,0.0,0.61
Lagombi,0.28,0.0,0.09,0.0,0.0
Molten Tigrex,0.0,0.69,0.03,0.45,0.09
Monoblos,0.08,0.0,0.48,0.33,0.0
Najarala,0.02,0.18,0.06,0.62,0.01
Nerscylla,0.37,0.0,0.48,0.05,0.0
Oroshi Kirin,0.2,0.18,0.14,0.0,0.04
Pink Rathian,0.0,0.06,0.22,0.07,0.24
Plum D.Hermitaur,0.21,0.05,0.37,1.0,0.0
Purple Gypceros,0.34,0.04,0.0,0.22,0.07
Raging Brachydios,0.0,0.54,0.08,0.8,0.02
Rajang,0.0,0.03,0.0,0.46,0.0
Rathalos,0.0,0.06,0.26,0.08,0.22
Rathian,0.0,0.06,0.21,0.08,0.25
Red Khezu,0.02,0.35,0.0,0.02,0.01
Ruby Basarios,0.16,0.25,0.13,0.57,0.02
Rusted Kushala Daora,0.0,1.0,0.03,0.0,0.47
Savage Deviljho,0.35,0.32,0.9,0.41,0.22
Seltas,0.16,0.04,0.31,0.05,0.0
Seltas Queen,0.28,0.0,0.05,0.24,0.0
Seregios,0.0,0.08,0.38,0.16,0.02
Shagaru Magala,0.36,0.0,0.14,0.04,0.28
Shah Dalamadur,0.08,0.16,0.58,0.67,0.76
Shrouded Nerscylla,0.12,0.0,0.03,0.44,0.0
Silver Rathalos,0.0,0.45,0.29,0.14,0.0
Stygian Zinogre,0.09,0.36,0.82,0.18,0.0
Teostra,0.0,0.36,0.12,0.49,0.26
Tetsucabra,0.0,0.42,0.35,0.07,0.01
Tidal Najarala,0.48,0.01,0.26,0.0,0.01
Tigerstripe Zamtrios,0.01,0.0,0.19,0.48,0.02
Tigrex,0.01,0.21,0.65,0.09,0.15
Ukanlos,0.75,0.05,0.51,0.0,0.22
Velocidrome,0.12,0.11,0.12,0.23,0.01
White Fatalis,0.29,0.03,0.03,0.15,0.24
White Monoblos,0.08,0.0,0.48,0.33,0.0
Yian Garuga,0.01,0.38,0.01,0.16,0.05
Yian Kut-Ku,0.04,0.17,0.29,0.49,0.0
Zamtrios,0.58,0.0,0.61,0.0,0.04
Zinogre,0.19,0.31,0.0,0.75,0.05
