monster,golden_largest_min,golden_largest_max,silver_min,silver_max,golden_smallest_min,golden_smallest_max,default
Abyssal Lagiacrus,,,,,,,3969.3
Agnaktor,3421.6,,,,,2416.1,
Alatreon,,,,,,,3105.0
Arzuros,,854.5,,,501.3,,
Azure Rathalos,2248.6,,,,,1140.6,
Baleful Gigginox,1266.7,,,,,982.8,
Barioth,2580.9,,,,,1888.5,
Barroth,1744.3,,,,,1217.1,
Black Diablos,2930.3,,,,,1865.7,
Brachydios,1932.7,,,,,1339.2,
Ceadeus,,,,,,,5837.2
Crimson Qurupeco,1085.4,,,,,347.3,
Deviljho,4097.8,,,,,1803.0,
Diablos,3030.0,,,,,1796.3,
Dire Miralis,,,,,,,6288.0
Duramboros,,2611.5,,,1317.8,,
Gigginox,1266.7,,,,,982.8,
Glacial Agnaktor,,3176.2,,,2198.9,,
Gobul,2844.8,,,,,1562.9,
Gold Rathian,2303.8,,,,,1151.9,
Goldbeard Ceadeus,,,,,,,5837.2
Great Baggi,1458.0,,,,,839.1,
Great Jaggi,1261.3,,,,,822.3,
Great Wroggi,,1168.1,,,831.7,,
Green Nargacuga,2002.9,,,,,1410.0,
Green Plesioth,3877.9,,,,,2125.3,
Hallowed Jhen Mohran,,,,,,,11161.9
Ivory Lagiacrus,3310.6,,,,,2516.0,
Jade Barroth,1744.3,,,,,1266.0,
Jhen Mohran,,,,,,,11161.9
Lagiacrus,3310.6,,,,,2330.7,
Lagombi,,1581.9,,,214.2,,
Lucent Nargacuga,,,,,,,2503.8
Nargacuga,2355.1,,,,,1602.2,
Nibelsnarf,,4693.1,,,1808.1,,
Pink Rathian,2303.8,,,,,1151.9,
Plesioth,3877.9,,,,,1991.1,
Purple Ludroth,1939.5,,,,,1467.9,
Qurupeco,1085.4,,,,,772.8,
Rathalos,2248.6,,,,,1140.6,
Rathian,2303.8,,,,,1151.9,
Royal Ludroth,1931.5,,,,,1359.8,
Rust Duramboros,4454.8,,,,,2116.0,
Sand Barioth,,2277.1,,,1730.6,,
Savage Deviljho,4097.8,,,,,1803.0,
Silver Rathalos,2248.6,,,,,1140.6,
Steel Uragaan,3344.5,,,,,410.1,
Stygian Zinogre,1887.0,,,,,1397.2,
Uragaan,3344.5,,,,,410.1,
Volvidon,,892.0,,,613.1,,
Zinogre,2144.5,,,,,1217.4,
