monster,type
Akantor,Flying Wyvern
Ash Kecha Wacha,Fanged Beast
Azure Rathalos,Flying Wyvern
Basarios,Flying Wyvern
Berserk Tetsucabra,Amphibian
Black Diablos,Flying Wyvern
Black Gravios,Flying Wyvern
Blue Yian Kut-Ku,Bird Wyvern
Brachydios,Brute Wyvern
Brute Tigrex,Flying Wyvern
Cephadrome,Piscine Wyvern
Chameleos,Elder Dragon
Chaotic Gore Magala,???
Congalala,Fanged Beast
Crimson Fatalis,Elder Dragon
Dah'ren Mohran,Elder Dragon
Daimyo Hermitaur,Carapaceon
Dalamadur,Elder Dragon
Desert Seltas,Neopteron
Desert Seltas Queen,Neopteron
Deviljho,Brute Wyvern
Diablos,Flying Wyvern
Emerald Congalala,Fanged Beast
Fatalis,Elder Dragon
Furious Rajang,Fanged Beast
Gendrome,Bird Wyvern
Gogmazios,Elder Dragon
Gold Rathian,Flying Wyvern
Gore Magala,Demi Elder
Gravios,Flying Wyvern
Great Jaggi,Bird Wyvern
Gypceros,Bird Wyvern
Iodrome,Bird Wyvern
Kecha Wacha,Fanged Beast
Khezu,Flying Wyvern
Kirin,Elder Dragon
Kushala Daora,Elder Dragon
Lagombi,Fanged Beast
Molten Tigrex,Flying Wyvern
Monoblos,Flying Wyvern
Najarala,Snake Wyvern
Nerscylla,Temnoceran
Oroshi Kirin,Elder Dragon
Pink Rathian,Flying Wyvern
Plum Daimyo Hermitaur,Carapaceon
Raging Brachydios,Brute Wyvern
Rajang,Fanged Beast
Rathalos,Flying Wyvern
Rathian,Flying Wyvern
Red Khezu,Flying Wyvern
Ruby Basarios,Flying Wyvern
Rusted Kushala Daora,Elder Dragon
Savage Deviljho,Brute Wyvern
Seltas,Neopteron
Seltas Queen,Neopteron
Seregios,Flying Wyvern
Shagaru Magala,Elder Dragon
Shah Dalamadur,Elder Dragon
Shrouded Nerscylla,Temnoceran
Silver Rathalos,Flying Wyvern
Stygian Zinogre,Fanged Wyvern
Teostra,Elder Dragon
Tetsucabra,Amphibian
Tidal Najarala,Snake Wyvern
Tigerstripe Zamtrios,Amphibian
Tigrex,Flying Wyvern
Ukanlos,Flying Wyvern
Velocidrome,Bird Wyvern
White Fatalis,Elder Dragon
White Monoblos,Flying Wyvern
Yian Garuga,Bird Wyvern
Yian Kut-Ku,Bird Wyvern
Zamtrios,Amphibian
Zinogre,Fanged Wyvern
